Node_1,Node_2,Relation
"{'label': 'Occupation', 'properties': ""{'title': 'Physicians, Pathologists'}"", 'identifier': ""{'title': 'Physicians, Pathologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Administrative Law Judges, Adjudicators, and Hearing Officers'}"", 'identifier': ""{'title': 'Administrative Law Judges, Adjudicators, and Hearing Officers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Chemistry Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Chemistry Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Forestry and Conservation Science Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Forestry and Conservation Science Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Geographers'}"", 'identifier': ""{'title': 'Geographers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Geography Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Geography Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Judges, Magistrate Judges, and Magistrates'}"", 'identifier': ""{'title': 'Judges, Magistrate Judges, and Magistrates'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Preventive Medicine Physicians'}"", 'identifier': ""{'title': 'Preventive Medicine Physicians'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'History Teachers, Postsecondary'}"", 'identifier': ""{'title': 'History Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Microbiologists'}"", 'identifier': ""{'title': 'Microbiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Epidemiologists'}"", 'identifier': ""{'title': 'Epidemiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '66', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Instructional Coordinators'}"", 'identifier': ""{'title': 'Instructional Coordinators'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '64', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Arbitrators, Mediators, and Conciliators'}"", 'identifier': ""{'title': 'Arbitrators, Mediators, and Conciliators'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Chief Executives'}"", 'identifier': ""{'title': 'Chief Executives'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Education Administrators, Kindergarten through Secondary'}"", 'identifier': ""{'title': 'Education Administrators, Kindergarten through Secondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Environmental Economists'}"", 'identifier': ""{'title': 'Environmental Economists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Judicial Law Clerks'}"", 'identifier': ""{'title': 'Judicial Law Clerks'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'News Analysts, Reporters, and Journalists'}"", 'identifier': ""{'title': 'News Analysts, Reporters, and Journalists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Psychiatrists'}"", 'identifier': ""{'title': 'Psychiatrists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Radiologists'}"", 'identifier': ""{'title': 'Radiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Allergists and Immunologists'}"", 'identifier': ""{'title': 'Allergists and Immunologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '61', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Chief Sustainability Officers'}"", 'identifier': ""{'title': 'Chief Sustainability Officers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '61', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Electrical Engineers'}"", 'identifier': ""{'title': 'Electrical Engineers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '61', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Family Medicine Physicians'}"", 'identifier': ""{'title': 'Family Medicine Physicians'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '59', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Fraud Examiners, Investigators and Analysts'}"", 'identifier': ""{'title': 'Fraud Examiners, Investigators and Analysts'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '59', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Urologists'}"", 'identifier': ""{'title': 'Urologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '59', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Health Education Specialists'}"", 'identifier': ""{'title': 'Health Education Specialists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '57', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Agricultural Sciences Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Agricultural Sciences Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Architecture Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Architecture Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Astronomers'}"", 'identifier': ""{'title': 'Astronomers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Business Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Business Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Health Specialties Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Health Specialties Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Law Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Law Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Philosophy and Religion Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Philosophy and Religion Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Physicists'}"", 'identifier': ""{'title': 'Physicists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Physics Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Physics Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Psychology Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Psychology Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Area, Ethnic, and Cultural Studies Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Area, Ethnic, and Cultural Studies Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Biologists'}"", 'identifier': ""{'title': 'Biologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Computer Science Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Computer Science Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Education Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Education Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Geneticists'}"", 'identifier': ""{'title': 'Geneticists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Historians'}"", 'identifier': ""{'title': 'Historians'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Lawyers'}"", 'identifier': ""{'title': 'Lawyers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Nursing Instructors and Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Nursing Instructors and Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Political Science Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Political Science Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Biological Science Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Biological Science Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Environmental Science Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Environmental Science Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Foreign Language and Literature Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Foreign Language and Literature Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Library Science Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Library Science Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Social Work Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Social Work Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Sociologists'}"", 'identifier': ""{'title': 'Sociologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Sociology Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Sociology Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Communications Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Communications Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '66', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Environmental Scientists and Specialists, Including Health'}"", 'identifier': ""{'title': 'Environmental Scientists and Specialists, Including Health'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '66', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Industrial Ecologists'}"", 'identifier': ""{'title': 'Industrial Ecologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '66', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Political Scientists'}"", 'identifier': ""{'title': 'Political Scientists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '66', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Criminal Justice and Law Enforcement Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Criminal Justice and Law Enforcement Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '64', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Labor Relations Specialists'}"", 'identifier': ""{'title': 'Labor Relations Specialists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '64', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Neurologists'}"", 'identifier': ""{'title': 'Neurologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '63', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Speech-Language Pathologists'}"", 'identifier': ""{'title': 'Speech-Language Pathologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '63', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Animal Scientists'}"", 'identifier': ""{'title': 'Animal Scientists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '61', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Audiologists'}"", 'identifier': ""{'title': 'Audiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '61', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Clinical and Counseling Psychologists'}"", 'identifier': ""{'title': 'Clinical and Counseling Psychologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '61', 'job_zone': 5}""}"
