,Node_1,Node_2,Relation
38,"{'label': 'Occupation', 'properties': ""{'title': 'Waiters_and_Waitresses'}"", 'identifier': ""{'title': 'Waiters_and_Waitresses'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
39,"{'label': 'Occupation', 'properties': ""{'title': 'Waiters_and_Waitresses'}"", 'identifier': ""{'title': 'Waiters_and_Waitresses'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
40,"{'label': 'Occupation', 'properties': ""{'title': 'Waiters_and_Waitresses'}"", 'identifier': ""{'title': 'Waiters_and_Waitresses'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Enterprising'}"", 'identifier': ""{'title': 'Enterprising'}""}",{'label': 'need_for_personality_trait'}
41,"{'label': 'Occupation', 'properties': ""{'title': 'Animal_Caretakers'}"", 'identifier': ""{'title': 'Animal_Caretakers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
42,"{'label': 'Occupation', 'properties': ""{'title': 'Animal_Caretakers'}"", 'identifier': ""{'title': 'Animal_Caretakers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
43,"{'label': 'Occupation', 'properties': ""{'title': 'Animal_Caretakers'}"", 'identifier': ""{'title': 'Animal_Caretakers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
44,"{'label': 'Occupation', 'properties': ""{'title': 'Animal_Trainers'}"", 'identifier': ""{'title': 'Animal_Trainers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
45,"{'label': 'Occupation', 'properties': ""{'title': 'Animal_Trainers'}"", 'identifier': ""{'title': 'Animal_Trainers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
46,"{'label': 'Occupation', 'properties': ""{'title': 'Food_Servers,_Nonrestaurant'}"", 'identifier': ""{'title': 'Food_Servers,_Nonrestaurant'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
47,"{'label': 'Occupation', 'properties': ""{'title': 'Food_Servers,_Nonrestaurant'}"", 'identifier': ""{'title': 'Food_Servers,_Nonrestaurant'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
48,"{'label': 'Occupation', 'properties': ""{'title': 'Food_Servers,_Nonrestaurant'}"", 'identifier': ""{'title': 'Food_Servers,_Nonrestaurant'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
49,"{'label': 'Occupation', 'properties': ""{'title': 'Funeral_Attendants'}"", 'identifier': ""{'title': 'Funeral_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
50,"{'label': 'Occupation', 'properties': ""{'title': 'Funeral_Attendants'}"", 'identifier': ""{'title': 'Funeral_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
51,"{'label': 'Occupation', 'properties': ""{'title': 'Funeral_Attendants'}"", 'identifier': ""{'title': 'Funeral_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
52,"{'label': 'Occupation', 'properties': ""{'title': 'Hotel,_Motel,_and_Resort_Desk_Clerks'}"", 'identifier': ""{'title': 'Hotel,_Motel,_and_Resort_Desk_Clerks'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
53,"{'label': 'Occupation', 'properties': ""{'title': 'Hotel,_Motel,_and_Resort_Desk_Clerks'}"", 'identifier': ""{'title': 'Hotel,_Motel,_and_Resort_Desk_Clerks'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
54,"{'label': 'Occupation', 'properties': ""{'title': 'Hotel,_Motel,_and_Resort_Desk_Clerks'}"", 'identifier': ""{'title': 'Hotel,_Motel,_and_Resort_Desk_Clerks'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Enterprising'}"", 'identifier': ""{'title': 'Enterprising'}""}",{'label': 'need_for_personality_trait'}
55,"{'label': 'Occupation', 'properties': ""{'title': 'Lifeguards,_Ski_Patrol,_and_Other_Recreational_Protective_Service_Workers'}"", 'identifier': ""{'title': 'Lifeguards,_Ski_Patrol,_and_Other_Recreational_Protective_Service_Workers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
56,"{'label': 'Occupation', 'properties': ""{'title': 'Lifeguards,_Ski_Patrol,_and_Other_Recreational_Protective_Service_Workers'}"", 'identifier': ""{'title': 'Lifeguards,_Ski_Patrol,_and_Other_Recreational_Protective_Service_Workers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
57,"{'label': 'Occupation', 'properties': ""{'title': 'Lifeguards,_Ski_Patrol,_and_Other_Recreational_Protective_Service_Workers'}"", 'identifier': ""{'title': 'Lifeguards,_Ski_Patrol,_and_Other_Recreational_Protective_Service_Workers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
58,"{'label': 'Occupation', 'properties': ""{'title': 'Medical_Secretaries_and_Administrative_Assistants'}"", 'identifier': ""{'title': 'Medical_Secretaries_and_Administrative_Assistants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
59,"{'label': 'Occupation', 'properties': ""{'title': 'Medical_Secretaries_and_Administrative_Assistants'}"", 'identifier': ""{'title': 'Medical_Secretaries_and_Administrative_Assistants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
60,"{'label': 'Occupation', 'properties': ""{'title': 'Passenger_Attendants'}"", 'identifier': ""{'title': 'Passenger_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
61,"{'label': 'Occupation', 'properties': ""{'title': 'Passenger_Attendants'}"", 'identifier': ""{'title': 'Passenger_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
62,"{'label': 'Occupation', 'properties': ""{'title': 'Passenger_Attendants'}"", 'identifier': ""{'title': 'Passenger_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
63,"{'label': 'Occupation', 'properties': ""{'title': 'Shampooers'}"", 'identifier': ""{'title': 'Shampooers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
64,"{'label': 'Occupation', 'properties': ""{'title': 'Shampooers'}"", 'identifier': ""{'title': 'Shampooers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
65,"{'label': 'Occupation', 'properties': ""{'title': 'Shampooers'}"", 'identifier': ""{'title': 'Shampooers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
66,"{'label': 'Occupation', 'properties': ""{'title': 'Acute_Care_Nurses'}"", 'identifier': ""{'title': 'Acute_Care_Nurses'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
67,"{'label': 'Occupation', 'properties': ""{'title': 'Acute_Care_Nurses'}"", 'identifier': ""{'title': 'Acute_Care_Nurses'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Investigative'}"", 'identifier': ""{'title': 'Investigative'}""}",{'label': 'need_for_personality_trait'}
68,"{'label': 'Occupation', 'properties': ""{'title': 'Acute_Care_Nurses'}"", 'identifier': ""{'title': 'Acute_Care_Nurses'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
69,"{'label': 'Occupation', 'properties': ""{'title': 'Career/Technical_Education_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Career/Technical_Education_Teachers,_Postsecondary'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
70,"{'label': 'Occupation', 'properties': ""{'title': 'Career/Technical_Education_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Career/Technical_Education_Teachers,_Postsecondary'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Investigative'}"", 'identifier': ""{'title': 'Investigative'}""}",{'label': 'need_for_personality_trait'}
71,"{'label': 'Occupation', 'properties': ""{'title': 'Concierges'}"", 'identifier': ""{'title': 'Concierges'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
72,"{'label': 'Occupation', 'properties': ""{'title': 'Concierges'}"", 'identifier': ""{'title': 'Concierges'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Enterprising'}"", 'identifier': ""{'title': 'Enterprising'}""}",{'label': 'need_for_personality_trait'}
73,"{'label': 'Occupation', 'properties': ""{'title': 'Concierges'}"", 'identifier': ""{'title': 'Concierges'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
74,"{'label': 'Occupation', 'properties': ""{'title': 'Dental_Hygienists'}"", 'identifier': ""{'title': 'Dental_Hygienists'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
75,"{'label': 'Occupation', 'properties': ""{'title': 'Dental_Hygienists'}"", 'identifier': ""{'title': 'Dental_Hygienists'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
76,"{'label': 'Occupation', 'properties': ""{'title': 'Dental_Hygienists'}"", 'identifier': ""{'title': 'Dental_Hygienists'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Investigative'}"", 'identifier': ""{'title': 'Investigative'}""}",{'label': 'need_for_personality_trait'}
77,"{'label': 'Occupation', 'properties': ""{'title': 'Dietetic_Technicians'}"", 'identifier': ""{'title': 'Dietetic_Technicians'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
78,"{'label': 'Occupation', 'properties': ""{'title': 'Dietetic_Technicians'}"", 'identifier': ""{'title': 'Dietetic_Technicians'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
79,"{'label': 'Occupation', 'properties': ""{'title': 'Dietetic_Technicians'}"", 'identifier': ""{'title': 'Dietetic_Technicians'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
80,"{'label': 'Occupation', 'properties': ""{'title': 'Emergency_Medical_Technicians'}"", 'identifier': ""{'title': 'Emergency_Medical_Technicians'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
81,"{'label': 'Occupation', 'properties': ""{'title': 'Emergency_Medical_Technicians'}"", 'identifier': ""{'title': 'Emergency_Medical_Technicians'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
82,"{'label': 'Occupation', 'properties': ""{'title': 'Emergency_Medical_Technicians'}"", 'identifier': ""{'title': 'Emergency_Medical_Technicians'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Investigative'}"", 'identifier': ""{'title': 'Investigative'}""}",{'label': 'need_for_personality_trait'}
83,"{'label': 'Occupation', 'properties': ""{'title': 'Exercise_Trainers_and_Group_Fitness_Instructors'}"", 'identifier': ""{'title': 'Exercise_Trainers_and_Group_Fitness_Instructors'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
84,"{'label': 'Occupation', 'properties': ""{'title': 'Exercise_Trainers_and_Group_Fitness_Instructors'}"", 'identifier': ""{'title': 'Exercise_Trainers_and_Group_Fitness_Instructors'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
85,"{'label': 'Occupation', 'properties': ""{'title': 'Hearing_Aid_Specialists'}"", 'identifier': ""{'title': 'Hearing_Aid_Specialists'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
86,"{'label': 'Occupation', 'properties': ""{'title': 'Hearing_Aid_Specialists'}"", 'identifier': ""{'title': 'Hearing_Aid_Specialists'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Investigative'}"", 'identifier': ""{'title': 'Investigative'}""}",{'label': 'need_for_personality_trait'}
87,"{'label': 'Occupation', 'properties': ""{'title': 'Hearing_Aid_Specialists'}"", 'identifier': ""{'title': 'Hearing_Aid_Specialists'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
88,"{'label': 'Occupation', 'properties': ""{'title': 'Licensed_Practical_and_Licensed_Vocational_Nurses'}"", 'identifier': ""{'title': 'Licensed_Practical_and_Licensed_Vocational_Nurses'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
89,"{'label': 'Occupation', 'properties': ""{'title': 'Licensed_Practical_and_Licensed_Vocational_Nurses'}"", 'identifier': ""{'title': 'Licensed_Practical_and_Licensed_Vocational_Nurses'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
