Importance,Level,Job Zone,Occupation,Ability,Category
78,70,5,"Forestry and Conservation Science Teachers, Postsecondary",Written Expression,Verbal Abilities
78,70,4,Geographers,Written Expression,Verbal Abilities
78,70,5,"Geography Teachers, Postsecondary",Written Expression,Verbal Abilities
78,70,5,"Pediatricians, General",Written Expression,Verbal Abilities
78,70,5,Psychiatrists,Written Expression,Verbal Abilities
78,68,5,"Art, Drama, and Music Teachers, Postsecondary",Written Expression,Verbal Abilities
78,68,5,Chief Executives,Written Expression,Verbal Abilities
78,68,5,"Education Administrators, Postsecondary",Written Expression,Verbal Abilities
78,68,4,Intelligence Analysts,Written Expression,Verbal Abilities
78,68,5,Materials Scientists,Written Expression,Verbal Abilities
78,68,5,Sociologists,Written Expression,Verbal Abilities
78,66,5,"Arbitrators, Mediators, and Conciliators",Written Expression,Verbal Abilities
78,66,5,Radiologists,Written Expression,Verbal Abilities
78,64,4,Equal Opportunity Representatives and Officers,Written Expression,Verbal Abilities
78,64,5,Obstetricians and Gynecologists,Written Expression,Verbal Abilities
78,64,5,Sports Medicine Physicians,Written Expression,Verbal Abilities
78,63,5,Chief Sustainability Officers,Written Expression,Verbal Abilities
78,63,4,Electrical Engineers,Written Expression,Verbal Abilities
78,61,4,Business Intelligence Analysts,Written Expression,Verbal Abilities
78,61,4,Compliance Managers,Written Expression,Verbal Abilities
78,61,4,"Education and Childcare Administrators, Preschool and Daycare",Written Expression,Verbal Abilities
78,61,5,Mental Health and Substance Abuse Social Workers,Written Expression,Verbal Abilities
78,61,5,Mental Health Counselors,Written Expression,Verbal Abilities
78,61,5,Nurse Practitioners,Written Expression,Verbal Abilities
78,61,5,Podiatrists,Written Expression,Verbal Abilities
78,61,5,Survey Researchers,Written Expression,Verbal Abilities
78,59,4,Regulatory Affairs Specialists,Written Expression,Verbal Abilities
78,59,4,Validation Engineers,Written Expression,Verbal Abilities
78,57,4,"Child, Family, and School Social Workers",Written Expression,Verbal Abilities
78,57,2,Correspondence Clerks,Written Expression,Verbal Abilities
78,57,4,Media Programming Directors,Written Expression,Verbal Abilities
75,80,5,Physicists,Written Expression,Verbal Abilities
75,73,5,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,"Architecture Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,Astronomers,Written Expression,Verbal Abilities
75,71,5,"Computer Science Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,"Economics Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,Economists,Written Expression,Verbal Abilities
75,71,5,"Environmental Science Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,"Health Specialties Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,"Law Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,Natural Sciences Managers,Written Expression,Verbal Abilities
75,71,5,"Philosophy and Religion Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,"Physics Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,"Political Science Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,Preventive Medicine Physicians,Written Expression,Verbal Abilities
75,71,5,"Social Work Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,5,"Sociology Teachers, Postsecondary",Written Expression,Verbal Abilities
75,71,4,Zoologists and Wildlife Biologists,Written Expression,Verbal Abilities
75,70,5,"Agricultural Sciences Teachers, Postsecondary",Written Expression,Verbal Abilities
75,70,5,Animal Scientists,Written Expression,Verbal Abilities
75,70,5,Biologists,Written Expression,Verbal Abilities
75,70,4,Chemists,Written Expression,Verbal Abilities
75,70,5,"Communications Teachers, Postsecondary",Written Expression,Verbal Abilities
75,70,5,Family Medicine Physicians,Written Expression,Verbal Abilities
75,70,5,Genetic Counselors,Written Expression,Verbal Abilities
75,70,5,Industrial Ecologists,Written Expression,Verbal Abilities
75,70,5,"Library Science Teachers, Postsecondary",Written Expression,Verbal Abilities
75,70,4,Nuclear Engineers,Written Expression,Verbal Abilities
75,70,5,"Nursing Instructors and Teachers, Postsecondary",Written Expression,Verbal Abilities
75,70,5,Political Scientists,Written Expression,Verbal Abilities
75,70,5,Statisticians,Written Expression,Verbal Abilities
75,68,4,Atmospheric and Space Scientists,Written Expression,Verbal Abilities
75,68,5,Environmental Economists,Written Expression,Verbal Abilities
75,68,4,Environmental Engineers,Written Expression,Verbal Abilities
75,68,5,"Foreign Language and Literature Teachers, Postsecondary",Written Expression,Verbal Abilities
75,68,5,General Internal Medicine Physicians,Written Expression,Verbal Abilities
75,68,5,School Psychologists,Written Expression,Verbal Abilities
75,68,5,Soil and Plant Scientists,Written Expression,Verbal Abilities
75,66,4,Business Continuity Planners,Written Expression,Verbal Abilities
75,66,5,Human Factors Engineers and Ergonomists,Written Expression,Verbal Abilities
75,66,5,Hydrologists,Written Expression,Verbal Abilities
75,66,4,"Mining and Geological Engineers, Including Mining Safety Engineers",Written Expression,Verbal Abilities
75,66,5,"Ophthalmologists, Except Pediatric",Written Expression,Verbal Abilities
75,66,4,Petroleum Engineers,Written Expression,Verbal Abilities
75,66,4,Remote Sensing Scientists and Technologists,Written Expression,Verbal Abilities
75,66,4,Training and Development Managers,Written Expression,Verbal Abilities
75,64,4,Computer Systems Engineers/Architects,Written Expression,Verbal Abilities
75,64,4,"Environmental Scientists and Specialists, Including Health",Written Expression,Verbal Abilities
75,64,5,"Family and Consumer Sciences Teachers, Postsecondary",Written Expression,Verbal Abilities
75,64,4,Fuel Cell Engineers,Written Expression,Verbal Abilities
75,64,5,Hospitalists,Written Expression,Verbal Abilities
75,64,4,Market Research Analysts and Marketing Specialists,Written Expression,Verbal Abilities
75,63,5,Audiologists,Written Expression,Verbal Abilities
75,63,5,"Educational, Guidance, and Career Counselors and Advisors",Written Expression,Verbal Abilities
75,63,5,Environmental Restoration Planners,Written Expression,Verbal Abilities
75,63,5,Farm and Home Management Educators,Written Expression,Verbal Abilities
75,63,5,"Geoscientists, Except Hydrologists and Geographers",Written Expression,Verbal Abilities
75,63,4,Health Informatics Specialists,Written Expression,Verbal Abilities
75,63,4,Labor Relations Specialists,Written Expression,Verbal Abilities
75,63,5,Orthotists and Prosthetists,Written Expression,Verbal Abilities
75,63,5,"Recreation and Fitness Studies Teachers, Postsecondary",Written Expression,Verbal Abilities
75,63,5,Urban and Regional Planners,Written Expression,Verbal Abilities
75,61,5,Allergists and Immunologists,Written Expression,Verbal Abilities
75,61,4,Brownfield Redevelopment Specialists and Site Managers,Written Expression,Verbal Abilities
75,61,5,Clinical Nurse Specialists,Written Expression,Verbal Abilities
75,61,5,Dietitians and Nutritionists,Written Expression,Verbal Abilities
75,61,4,Emergency Management Directors,Written Expression,Verbal Abilities
75,61,4,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Written Expression,Verbal Abilities
75,61,4,Health Education Specialists,Written Expression,Verbal Abilities
75,61,4,Industrial Engineers,Written Expression,Verbal Abilities
75,61,4,Management Analysts,Written Expression,Verbal Abilities
75,61,4,Public Relations Specialists,Written Expression,Verbal Abilities
75,61,4,Regulatory Affairs Managers,Written Expression,Verbal Abilities
75,61,4,Solar Energy Systems Engineers,Written Expression,Verbal Abilities
75,59,5,"Architects, Except Landscape and Naval",Written Expression,Verbal Abilities
75,59,4,"Career/Technical Education Teachers, Secondary School",Written Expression,Verbal Abilities
75,59,5,Climate Change Policy Analysts,Written Expression,Verbal Abilities
75,59,4,Compensation and Benefits Managers,Written Expression,Verbal Abilities
75,59,3,Coroners,Written Expression,Verbal Abilities
75,59,4,"Elementary School Teachers, Except Special Education",Written Expression,Verbal Abilities
75,59,4,Financial Examiners,Written Expression,Verbal Abilities
75,59,3,Forensic Science Technicians,Written Expression,Verbal Abilities
75,59,4,Geodetic Surveyors,Written Expression,Verbal Abilities
75,59,5,Marriage and Family Therapists,Written Expression,Verbal Abilities
75,59,4,Medical and Health Services Managers,Written Expression,Verbal Abilities
75,59,4,"Meeting, Convention, and Event Planners",Written Expression,Verbal Abilities
75,59,4,"News Analysts, Reporters, and Journalists",Written Expression,Verbal Abilities
75,59,5,Orthoptists,Written Expression,Verbal Abilities
75,59,5,Physician Assistants,Written Expression,Verbal Abilities
75,59,4,Quality Control Systems Managers,Written Expression,Verbal Abilities
75,59,4,Sustainability Specialists,Written Expression,Verbal Abilities
75,59,4,Training and Development Specialists,Written Expression,Verbal Abilities
75,59,4,Transportation Engineers,Written Expression,Verbal Abilities
75,59,4,Transportation Planners,Written Expression,Verbal Abilities
75,59,4,Treasurers and Controllers,Written Expression,Verbal Abilities
75,59,4,Water/Wastewater Engineers,Written Expression,Verbal Abilities
75,57,4,Actuaries,Written Expression,Verbal Abilities
75,57,4,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Written Expression,Verbal Abilities
75,57,5,Advanced Practice Psychiatric Nurses,Written Expression,Verbal Abilities
75,57,5,Anesthesiologists,Written Expression,Verbal Abilities
75,57,5,Archivists,Written Expression,Verbal Abilities
75,57,4,Civil Engineers,Written Expression,Verbal Abilities
75,57,5,Clergy,Written Expression,Verbal Abilities
75,57,4,Clinical Research Coordinators,Written Expression,Verbal Abilities
75,57,4,"Directors, Religious Activities and Education",Written Expression,Verbal Abilities
75,57,3,Energy Auditors,Written Expression,Verbal Abilities
75,57,3,Executive Secretaries and Executive Administrative Assistants,Written Expression,Verbal Abilities
75,57,3,Fire Inspectors and Investigators,Written Expression,Verbal Abilities
75,57,4,Fundraisers,Written Expression,Verbal Abilities
75,57,4,General and Operations Managers,Written Expression,Verbal Abilities
75,57,3,Government Property Inspectors and Investigators,Written Expression,Verbal Abilities
75,57,4,Human Resources Managers,Written Expression,Verbal Abilities
75,57,4,Information Technology Project Managers,Written Expression,Verbal Abilities
75,57,4,Interpreters and Translators,Written Expression,Verbal Abilities
75,57,4,Lodging Managers,Written Expression,Verbal Abilities
75,57,4,Logistics Engineers,Written Expression,Verbal Abilities
75,57,5,Nurse Anesthetists,Written Expression,Verbal Abilities
75,57,5,Nurse Midwives,Written Expression,Verbal Abilities
75,57,4,Occupational Health and Safety Specialists,Written Expression,Verbal Abilities
75,57,5,Occupational Therapists,Written Expression,Verbal Abilities
75,57,5,Operations Research Analysts,Written Expression,Verbal Abilities
75,57,5,Orthodontists,Written Expression,Verbal Abilities
75,57,3,Paralegals and Legal Assistants,Written Expression,Verbal Abilities
75,57,4,Personal Financial Advisors,Written Expression,Verbal Abilities
75,57,4,"Special Education Teachers, Middle School",Written Expression,Verbal Abilities
75,57,5,Substance Abuse and Behavioral Disorder Counselors,Written Expression,Verbal Abilities
75,57,4,Supply Chain Managers,Written Expression,Verbal Abilities
75,57,3,Tutors,Written Expression,Verbal Abilities
75,57,3,Wind Energy Operations Managers,Written Expression,Verbal Abilities
75,55,2,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Written Expression,Verbal Abilities
75,55,4,"Special Education Teachers, Secondary School",Written Expression,Verbal Abilities
75,54,3,Court Reporters and Simultaneous Captioners,Written Expression,Verbal Abilities
72,71,5,"Engineering Teachers, Postsecondary",Written Expression,Verbal Abilities
72,71,5,Nanosystems Engineers,Written Expression,Verbal Abilities
72,70,5,Biostatisticians,Written Expression,Verbal Abilities
72,70,4,Materials Engineers,Written Expression,Verbal Abilities
72,68,4,Aerospace Engineers,Written Expression,Verbal Abilities
72,68,5,Curators,Written Expression,Verbal Abilities
72,68,4,Environmental Compliance Inspectors,Written Expression,Verbal Abilities
72,66,5,Architectural and Engineering Managers,Written Expression,Verbal Abilities
72,66,4,Mechatronics Engineers,Written Expression,Verbal Abilities
72,66,4,Photonics Engineers,Written Expression,Verbal Abilities
72,66,4,Robotics Engineers,Written Expression,Verbal Abilities
72,64,4,Bioengineers and Biomedical Engineers,Written Expression,Verbal Abilities
72,64,5,"Mathematical Science Teachers, Postsecondary",Written Expression,Verbal Abilities
72,64,5,Neurologists,Written Expression,Verbal Abilities
72,63,4,Agricultural Engineers,Written Expression,Verbal Abilities
72,62,4,Marine Engineers and Naval Architects,Written Expression,Verbal Abilities
72,61,4,Computer Network Architects,Written Expression,Verbal Abilities
72,61,5,Naturopathic Physicians,Written Expression,Verbal Abilities
72,61,5,Physical Medicine and Rehabilitation Physicians,Written Expression,Verbal Abilities
72,59,5,Art Therapists,Written Expression,Verbal Abilities
72,59,4,Biofuels/Biodiesel Technology and Product Development Managers,Written Expression,Verbal Abilities
72,59,4,"Claims Adjusters, Examiners, and Investigators",Written Expression,Verbal Abilities
72,59,4,Clinical Data Managers,Written Expression,Verbal Abilities
72,59,5,Dermatologists,Written Expression,Verbal Abilities
72,59,4,"Electronics Engineers, Except Computer",Written Expression,Verbal Abilities
72,59,4,Exercise Physiologists,Written Expression,Verbal Abilities
72,59,4,Financial Managers,Written Expression,Verbal Abilities
72,59,5,Healthcare Social Workers,Written Expression,Verbal Abilities
72,59,4,Marketing Managers,Written Expression,Verbal Abilities
72,59,3,Medical Transcriptionists,Written Expression,Verbal Abilities
72,59,5,Pharmacists,Written Expression,Verbal Abilities
72,59,4,Range Managers,Written Expression,Verbal Abilities
72,59,4,Sales Engineers,Written Expression,Verbal Abilities
72,59,4,Search Marketing Strategists,Written Expression,Verbal Abilities
72,59,4,"Secondary School Teachers, Except Special and Career/Technical Education",Written Expression,Verbal Abilities
72,59,4,Social and Community Service Managers,Written Expression,Verbal Abilities
72,59,4,Surveyors,Written Expression,Verbal Abilities
72,59,4,Water Resource Specialists,Written Expression,Verbal Abilities
72,57,4,Accountants and Auditors,Written Expression,Verbal Abilities
72,57,3,Administrative Services Managers,Written Expression,Verbal Abilities
72,57,4,Advertising and Promotions Managers,Written Expression,Verbal Abilities
72,57,4,Automotive Engineers,Written Expression,Verbal Abilities
72,57,4,"Career/Technical Education Teachers, Middle School",Written Expression,Verbal Abilities
72,57,3,"Career/Technical Education Teachers, Postsecondary",Written Expression,Verbal Abilities
72,57,3,Chemical Technicians,Written Expression,Verbal Abilities
72,57,5,Chiropractors,Written Expression,Verbal Abilities
72,57,4,"Environmental Science and Protection Technicians, Including Health",Written Expression,Verbal Abilities
72,57,5,Financial Quantitative Analysts,Written Expression,Verbal Abilities
72,57,4,Fire-Prevention and Protection Engineers,Written Expression,Verbal Abilities
72,57,3,First-Line Supervisors of Office and Administrative Support Workers,Written Expression,Verbal Abilities
72,57,3,First-Line Supervisors of Police and Detectives,Written Expression,Verbal Abilities
72,57,4,Food Scientists and Technologists,Written Expression,Verbal Abilities
72,57,4,Information Security Analysts,Written Expression,Verbal Abilities
72,57,4,"Kindergarten Teachers, Except Special Education",Written Expression,Verbal Abilities
72,57,4,Loan Officers,Written Expression,Verbal Abilities
72,57,4,Loss Prevention Managers,Written Expression,Verbal Abilities
72,57,5,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Written Expression,Verbal Abilities
72,57,4,"Middle School Teachers, Except Special and Career/Technical Education",Written Expression,Verbal Abilities
72,57,4,Music Therapists,Written Expression,Verbal Abilities
72,57,5,Optometrists,Written Expression,Verbal Abilities
72,57,5,Physical Therapists,Written Expression,Verbal Abilities
72,57,3,Private Detectives and Investigators,Written Expression,Verbal Abilities
72,57,4,Recreational Therapists,Written Expression,Verbal Abilities
72,57,4,Rehabilitation Counselors,Written Expression,Verbal Abilities
72,57,4,Sales Managers,Written Expression,Verbal Abilities
72,57,3,Speech-Language Pathology Assistants,Written Expression,Verbal Abilities
72,57,4,"Transportation, Storage, and Distribution Managers",Written Expression,Verbal Abilities
72,55,4,Broadcast Announcers and Radio Disc Jockeys,Written Expression,Verbal Abilities
72,55,4,Budget Analysts,Written Expression,Verbal Abilities
72,55,4,Critical Care Nurses,Written Expression,Verbal Abilities
72,55,3,"Eligibility Interviewers, Government Programs",Written Expression,Verbal Abilities
72,55,4,Human Resources Specialists,Written Expression,Verbal Abilities
72,55,3,Precision Agriculture Technicians,Written Expression,Verbal Abilities
72,55,4,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Written Expression,Verbal Abilities
72,55,3,Quality Control Analysts,Written Expression,Verbal Abilities
72,55,4,Social and Human Service Assistants,Written Expression,Verbal Abilities
72,55,4,Software Quality Assurance Analysts and Testers,Written Expression,Verbal Abilities
72,55,4,Statistical Assistants,Written Expression,Verbal Abilities
72,55,4,Video Game Designers,Written Expression,Verbal Abilities
72,54,5,Adapted Physical Education Specialists,Written Expression,Verbal Abilities
72,54,3,Computer User Support Specialists,Written Expression,Verbal Abilities
72,54,3,Legal Secretaries and Administrative Assistants,Written Expression,Verbal Abilities
72,54,4,Wind Energy Development Managers,Written Expression,Verbal Abilities
72,52,2,"Credit Authorizers, Checkers, and Clerks",Written Expression,Verbal Abilities
69,68,5,Mathematicians,Written Expression,Verbal Abilities
69,64,5,Microsystems Engineers,Written Expression,Verbal Abilities
69,63,5,Investment Fund Managers,Written Expression,Verbal Abilities
69,61,5,Computer and Information Research Scientists,Written Expression,Verbal Abilities
69,61,4,Producers and Directors,Written Expression,Verbal Abilities
69,59,4,Computer and Information Systems Managers,Written Expression,Verbal Abilities
69,59,4,Computer Hardware Engineers,Written Expression,Verbal Abilities
69,59,4,Construction Managers,Written Expression,Verbal Abilities
69,59,4,Cytogenetic Technologists,Written Expression,Verbal Abilities
69,59,4,Park Naturalists,Written Expression,Verbal Abilities
69,57,3,Acute Care Nurses,Written Expression,Verbal Abilities
69,57,3,Aerospace Engineering and Operations Technologists and Technicians,Written Expression,Verbal Abilities
69,57,4,Biomass Power Plant Managers,Written Expression,Verbal Abilities
69,57,4,Cost Estimators,Written Expression,Verbal Abilities
69,57,4,Credit Counselors,Written Expression,Verbal Abilities
69,57,4,Document Management Specialists,Written Expression,Verbal Abilities
69,57,3,First-Line Supervisors of Correctional Officers,Written Expression,Verbal Abilities
69,57,4,Fitness and Wellness Coordinators,Written Expression,Verbal Abilities
69,57,4,Foresters,Written Expression,Verbal Abilities
69,57,3,"Human Resources Assistants, Except Payroll and Timekeeping",Written Expression,Verbal Abilities
69,57,4,Interior Designers,Written Expression,Verbal Abilities
69,57,4,Probation Officers and Correctional Treatment Specialists,Written Expression,Verbal Abilities
69,57,4,"Property, Real Estate, and Community Association Managers",Written Expression,Verbal Abilities
69,57,4,Purchasing Managers,Written Expression,Verbal Abilities
69,57,5,"Special Education Teachers, Preschool",Written Expression,Verbal Abilities
69,55,5,Athletic Trainers,Written Expression,Verbal Abilities
69,55,4,"Energy Engineers, Except Wind and Solar",Written Expression,Verbal Abilities
69,55,4,Insurance Underwriters,Written Expression,Verbal Abilities
69,55,4,Landscape Architects,Written Expression,Verbal Abilities
69,55,3,Nuclear Monitoring Technicians,Written Expression,Verbal Abilities
69,55,3,Police Identification and Records Officers,Written Expression,Verbal Abilities
69,55,4,Registered Nurses,Written Expression,Verbal Abilities
69,55,4,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Written Expression,Verbal Abilities
69,55,4,Social Science Research Assistants,Written Expression,Verbal Abilities
69,55,3,Solar Energy Installation Managers,Written Expression,Verbal Abilities
69,54,4,Biofuels Production Managers,Written Expression,Verbal Abilities
69,54,3,Customs Brokers,Written Expression,Verbal Abilities
69,54,3,Food Science Technicians,Written Expression,Verbal Abilities
69,54,5,Librarians and Media Collections Specialists,Written Expression,Verbal Abilities
69,54,4,Media Technical Directors/Managers,Written Expression,Verbal Abilities
69,54,3,Occupational Therapy Assistants,Written Expression,Verbal Abilities
69,54,3,Patient Representatives,Written Expression,Verbal Abilities
69,54,5,Set and Exhibit Designers,Written Expression,Verbal Abilities
69,54,2,"Title Examiners, Abstractors, and Searchers",Written Expression,Verbal Abilities
69,52,4,Community Health Workers,Written Expression,Verbal Abilities
69,52,3,Detectives and Criminal Investigators,Written Expression,Verbal Abilities
69,52,3,Medical Assistants,Written Expression,Verbal Abilities
69,52,4,Transportation Inspectors,Written Expression,Verbal Abilities
69,50,3,Payroll and Timekeeping Clerks,Written Expression,Verbal Abilities
69,48,3,Diagnostic Medical Sonographers,Written Expression,Verbal Abilities
69,46,3,Transit and Railroad Police,Written Expression,Verbal Abilities
69,45,2,Gambling Surveillance Officers and Gambling Investigators,Written Expression,Verbal Abilities
69,45,2,Procurement Clerks,Written Expression,Verbal Abilities
67,53,4,"Farmers, Ranchers, and Other Agricultural Managers",Written Expression,Verbal Abilities
66,63,4,Manufacturing Engineers,Written Expression,Verbal Abilities
66,59,4,Bioinformatics Technicians,Written Expression,Verbal Abilities
66,59,4,Conservation Scientists,Written Expression,Verbal Abilities
66,59,3,Hydroelectric Production Managers,Written Expression,Verbal Abilities
66,59,5,Oral and Maxillofacial Surgeons,Written Expression,Verbal Abilities
66,59,5,Veterinarians,Written Expression,Verbal Abilities
66,57,4,"Agents and Business Managers of Artists, Performers, and Athletes",Written Expression,Verbal Abilities
66,57,3,Civil Engineering Technologists and Technicians,Written Expression,Verbal Abilities
66,57,3,Compliance Officers,Written Expression,Verbal Abilities
66,57,4,Proofreaders and Copy Markers,Written Expression,Verbal Abilities
66,55,3,Aviation Inspectors,Written Expression,Verbal Abilities
66,55,4,Biological Technicians,Written Expression,Verbal Abilities
66,55,3,Construction and Building Inspectors,Written Expression,Verbal Abilities
66,55,3,Loan Interviewers and Clerks,Written Expression,Verbal Abilities
66,55,4,Logisticians,Written Expression,Verbal Abilities
66,55,3,Nuclear Power Reactor Operators,Written Expression,Verbal Abilities
66,55,4,Talent Directors,Written Expression,Verbal Abilities
66,55,3,"Tax Examiners and Collectors, and Revenue Agents",Written Expression,Verbal Abilities
66,55,4,Web Administrators,Written Expression,Verbal Abilities
66,54,3,Airfield Operations Specialists,Written Expression,Verbal Abilities
66,54,3,Avionics Technicians,Written Expression,Verbal Abilities
66,54,3,Customs and Border Protection Officers,Written Expression,Verbal Abilities
66,54,3,Desktop Publishers,Written Expression,Verbal Abilities
66,54,3,Electrical and Electronics Drafters,Written Expression,Verbal Abilities
66,54,3,First-Line Supervisors of Firefighting and Prevention Workers,Written Expression,Verbal Abilities
66,54,3,First-Line Supervisors of Production and Operating Workers,Written Expression,Verbal Abilities
66,54,3,Geothermal Production Managers,Written Expression,Verbal Abilities
66,54,3,"Insurance Appraisers, Auto Damage",Written Expression,Verbal Abilities
66,54,4,Insurance Sales Agents,Written Expression,Verbal Abilities
66,54,3,Occupational Health and Safety Technicians,Written Expression,Verbal Abilities
66,54,4,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Written Expression,Verbal Abilities
66,52,3,"Bookkeeping, Accounting, and Auditing Clerks",Written Expression,Verbal Abilities
66,52,3,Brokerage Clerks,Written Expression,Verbal Abilities
66,52,3,Fashion Designers,Written Expression,Verbal Abilities
66,52,3,Funeral Home Managers,Written Expression,Verbal Abilities
66,50,3,"Opticians, Dispensing",Written Expression,Verbal Abilities
66,50,3,Power Distributors and Dispatchers,Written Expression,Verbal Abilities
66,48,3,Radiation Therapists,Written Expression,Verbal Abilities
66,46,2,"Dispatchers, Except Police, Fire, and Ambulance",Written Expression,Verbal Abilities
66,45,2,Customer Service Representatives,Written Expression,Verbal Abilities
66,43,2,"Office Clerks, General",Written Expression,Verbal Abilities
66,43,2,Pest Control Workers,Written Expression,Verbal Abilities
63,59,4,Remote Sensing Technicians,Written Expression,Verbal Abilities
63,57,4,Data Warehousing Specialists,Written Expression,Verbal Abilities
63,57,4,Geographic Information Systems Technologists and Technicians,Written Expression,Verbal Abilities
63,57,4,Industrial Production Managers,Written Expression,Verbal Abilities
63,57,5,Midwives,Written Expression,Verbal Abilities
63,57,5,"Teaching Assistants, Postsecondary",Written Expression,Verbal Abilities
63,55,4,Appraisers and Assessors of Real Estate,Written Expression,Verbal Abilities
63,55,4,Cartographers and Photogrammetrists,Written Expression,Verbal Abilities
63,55,4,First-Line Supervisors of Non-Retail Sales Workers,Written Expression,Verbal Abilities
63,55,4,Museum Technicians and Conservators,Written Expression,Verbal Abilities
63,54,4,Advertising Sales Agents,Written Expression,Verbal Abilities
63,54,3,Agricultural Technicians,Written Expression,Verbal Abilities
63,54,5,Anesthesiologist Assistants,Written Expression,Verbal Abilities
63,54,4,Coaches and Scouts,Written Expression,Verbal Abilities
63,54,3,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Written Expression,Verbal Abilities
63,54,4,Fish and Game Wardens,Written Expression,Verbal Abilities
63,54,3,Magnetic Resonance Imaging Technologists,Written Expression,Verbal Abilities
63,54,2,Non-Destructive Testing Specialists,Written Expression,Verbal Abilities
63,54,4,Special Effects Artists and Animators,Written Expression,Verbal Abilities
63,52,4,Graphic Designers,Written Expression,Verbal Abilities
63,52,3,Nuclear Medicine Technologists,Written Expression,Verbal Abilities
63,52,4,Online Merchants,Written Expression,Verbal Abilities
63,52,2,Postmasters and Mail Superintendents,Written Expression,Verbal Abilities
63,52,3,Psychiatric Technicians,Written Expression,Verbal Abilities
63,52,4,Real Estate Brokers,Written Expression,Verbal Abilities
63,52,3,Respiratory Therapists,Written Expression,Verbal Abilities
63,52,4,"Securities, Commodities, and Financial Services Sales Agents",Written Expression,Verbal Abilities
63,50,3,Audio and Video Technicians,Written Expression,Verbal Abilities
63,50,2,Bill and Account Collectors,Written Expression,Verbal Abilities
63,50,3,Cardiovascular Technologists and Technicians,Written Expression,Verbal Abilities
