,Node_1,Node_2,Relation
31,"{'label': 'Occupation', 'properties': ""{'title': 'Allergists_and_Immunologists'}"", 'identifier': ""{'title': 'Allergists_and_Immunologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '61'}""}"
32,"{'label': 'Occupation', 'properties': ""{'title': 'Chief_Sustainability_Officers'}"", 'identifier': ""{'title': 'Chief_Sustainability_Officers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '61'}""}"
33,"{'label': 'Occupation', 'properties': ""{'title': 'Electrical_Engineers'}"", 'identifier': ""{'title': 'Electrical_Engineers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '61'}""}"
34,"{'label': 'Occupation', 'properties': ""{'title': 'Family_Medicine_Physicians'}"", 'identifier': ""{'title': 'Family_Medicine_Physicians'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '59'}""}"
35,"{'label': 'Occupation', 'properties': ""{'title': 'Fraud_Examiners,_Investigators_and_Analysts'}"", 'identifier': ""{'title': 'Fraud_Examiners,_Investigators_and_Analysts'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '59'}""}"
36,"{'label': 'Occupation', 'properties': ""{'title': 'Urologists'}"", 'identifier': ""{'title': 'Urologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '59'}""}"
37,"{'label': 'Occupation', 'properties': ""{'title': 'Health_Education_Specialists'}"", 'identifier': ""{'title': 'Health_Education_Specialists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '57'}""}"
38,"{'label': 'Occupation', 'properties': ""{'title': 'Agricultural_Sciences_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Agricultural_Sciences_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
39,"{'label': 'Occupation', 'properties': ""{'title': 'Architecture_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Architecture_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
40,"{'label': 'Occupation', 'properties': ""{'title': 'Astronomers'}"", 'identifier': ""{'title': 'Astronomers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
41,"{'label': 'Occupation', 'properties': ""{'title': 'Business_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Business_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
42,"{'label': 'Occupation', 'properties': ""{'title': 'Health_Specialties_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Health_Specialties_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
43,"{'label': 'Occupation', 'properties': ""{'title': 'Law_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Law_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
44,"{'label': 'Occupation', 'properties': ""{'title': 'Philosophy_and_Religion_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Philosophy_and_Religion_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
45,"{'label': 'Occupation', 'properties': ""{'title': 'Physicists'}"", 'identifier': ""{'title': 'Physicists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
46,"{'label': 'Occupation', 'properties': ""{'title': 'Physics_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Physics_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
47,"{'label': 'Occupation', 'properties': ""{'title': 'Psychology_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Psychology_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '71'}""}"
48,"{'label': 'Occupation', 'properties': ""{'title': 'Area,_Ethnic,_and_Cultural_Studies_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Area,_Ethnic,_and_Cultural_Studies_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70'}""}"
49,"{'label': 'Occupation', 'properties': ""{'title': 'Biologists'}"", 'identifier': ""{'title': 'Biologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70'}""}"
50,"{'label': 'Occupation', 'properties': ""{'title': 'Computer_Science_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Computer_Science_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70'}""}"
51,"{'label': 'Occupation', 'properties': ""{'title': 'Education_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Education_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70'}""}"
52,"{'label': 'Occupation', 'properties': ""{'title': 'Geneticists'}"", 'identifier': ""{'title': 'Geneticists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70'}""}"
53,"{'label': 'Occupation', 'properties': ""{'title': 'Historians'}"", 'identifier': ""{'title': 'Historians'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70'}""}"
54,"{'label': 'Occupation', 'properties': ""{'title': 'Lawyers'}"", 'identifier': ""{'title': 'Lawyers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70'}""}"
55,"{'label': 'Occupation', 'properties': ""{'title': 'Nursing_Instructors_and_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Nursing_Instructors_and_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70'}""}"
56,"{'label': 'Occupation', 'properties': ""{'title': 'Political_Science_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Political_Science_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '70'}""}"
57,"{'label': 'Occupation', 'properties': ""{'title': 'Atmospheric,_Earth,_Marine,_and_Space_Sciences_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Atmospheric,_Earth,_Marine,_and_Space_Sciences_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68'}""}"
58,"{'label': 'Occupation', 'properties': ""{'title': 'Biological_Science_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Biological_Science_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68'}""}"
59,"{'label': 'Occupation', 'properties': ""{'title': 'Environmental_Science_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Environmental_Science_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68'}""}"
60,"{'label': 'Occupation', 'properties': ""{'title': 'Foreign_Language_and_Literature_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Foreign_Language_and_Literature_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68'}""}"
61,"{'label': 'Occupation', 'properties': ""{'title': 'Library_Science_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Library_Science_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68'}""}"
62,"{'label': 'Occupation', 'properties': ""{'title': 'Social_Work_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Social_Work_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68'}""}"
63,"{'label': 'Occupation', 'properties': ""{'title': 'Sociologists'}"", 'identifier': ""{'title': 'Sociologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68'}""}"
64,"{'label': 'Occupation', 'properties': ""{'title': 'Sociology_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Sociology_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '68'}""}"
65,"{'label': 'Occupation', 'properties': ""{'title': 'Communications_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Communications_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '66'}""}"
66,"{'label': 'Occupation', 'properties': ""{'title': 'Environmental_Scientists_and_Specialists,_Including_Health'}"", 'identifier': ""{'title': 'Environmental_Scientists_and_Specialists,_Including_Health'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '66'}""}"
67,"{'label': 'Occupation', 'properties': ""{'title': 'Industrial_Ecologists'}"", 'identifier': ""{'title': 'Industrial_Ecologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '66'}""}"
68,"{'label': 'Occupation', 'properties': ""{'title': 'Political_Scientists'}"", 'identifier': ""{'title': 'Political_Scientists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '66'}""}"
69,"{'label': 'Occupation', 'properties': ""{'title': 'Criminal_Justice_and_Law_Enforcement_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Criminal_Justice_and_Law_Enforcement_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '64'}""}"
70,"{'label': 'Occupation', 'properties': ""{'title': 'Labor_Relations_Specialists'}"", 'identifier': ""{'title': 'Labor_Relations_Specialists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '64'}""}"
71,"{'label': 'Occupation', 'properties': ""{'title': 'Neurologists'}"", 'identifier': ""{'title': 'Neurologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '63'}""}"
72,"{'label': 'Occupation', 'properties': ""{'title': 'Speech-Language_Pathologists'}"", 'identifier': ""{'title': 'Speech-Language_Pathologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '63'}""}"
73,"{'label': 'Occupation', 'properties': ""{'title': 'Animal_Scientists'}"", 'identifier': ""{'title': 'Animal_Scientists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '61'}""}"
74,"{'label': 'Occupation', 'properties': ""{'title': 'Audiologists'}"", 'identifier': ""{'title': 'Audiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '61'}""}"
75,"{'label': 'Occupation', 'properties': ""{'title': 'Clinical_and_Counseling_Psychologists'}"", 'identifier': ""{'title': 'Clinical_and_Counseling_Psychologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '61'}""}"
76,"{'label': 'Occupation', 'properties': ""{'title': 'Economists'}"", 'identifier': ""{'title': 'Economists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 75, 'level': '61'}""}"
